Question	Count	States	
With or without a meeting by written consent SIGNED BY A QUORUM AND INCLUDED IN RECORDED MINUTES	0.04	2.00	4%
Grand Total	1.00	51.00	100%
Description		Actions refer to votes or any decision that requires the input of the full board. This specifically looks at requirements for taking an action without holding an associated meeting. Below are the findings on a nationwide basis regarding board actions without holding and associated meeting. 	
Introduction		What are the rules around board actions such as votes or any decision that requires the input of the full board? 	
Trends		All states allow for actions to be taken without a meeting. The most common requirement (41 states) is that any action taken without a meeting must be done via a unanimous written consent and included in recorded minutes. <br><br> The remainder of the states widely vary in terms of special provisions around how an action must be announced or with regard to the minimum number of votes required at an in person meeting to pass such an action. <br><br> Not all states specify that an action can be taken or signed using electronic means but unless “written” is defined in the statute, e-mails and other similar forms of communication are allowed. In such cases, all directors must be able to see the responses of each director and the signature is valid. It is a best practice, though not always a legal requirement, that such actions always be included in the organization’s minutes. 	
Vacancy	7.00		
Goverened by an organization's bylaws / articles of incorporation (AOI)	0.04	2.00	4%
May be filled through an action of the board	0.16	8.00	16%
May be filled through an action of the board; the director filling vacancy only serves remaining term of predecessor	0.16	8.00	16%
May be filled through an action of the board; if the vacant office was previously voted by members of a unit, then only that unit can vote to fill the vacancy	0.59	30.00	59%
May be filled until next election	0.02	1.00	2%
Must be filled within 6 months or by next annual meeting, whichever comes first. May be filled through an action of the board; director filling vacancy only serves remaining term of predecessor	0.02	1.00	2%
No applicable laws exist on this topic	0.02	1.00	2%
Grand Total	1.00	51.00	100%
Description		Vacancy of elected directors refers to a seat on the board – as outlined in the organization’s bylaws – that is not currently filled by a member. The vacancy could occur due to resignation, removal, or attrition. Below are the findings on a nationwide basis regarding the vacancy of a director’s seat. 	
Introduction		What rules exist around how directors join or leave a board? Specifically, what laws govern filling a vacancy? 	
Trends		A vacancy on a board of directors can overwhelmingly be filled by the remaining members, but special provisions can vary around the number of board members required to fill the vacany, and whether or not the replacement is considered only temporary until the next election cycle.	
Removal	5.00		
Governed by an organizatin's bylaws / articles of incorporation (AOI)	0.20	10.00	20%
Director can be removed with or without cause by majority vote of the board	0.16	8.00	16%
Director can be removed with or without cause by same unit / number of votes that elected the director	0.55	28.00	55%
Director can be removed with or without cause by same unit / number of votes that elected the director; special meeting required	0.08	4.00	8%
No applicable laws exist on this topic	0.02	1.00	2%
Grand Total	1.00	51.00	100%
Description		Removal of elected directors refers to the termination – by the organization – of a board member’s service on the board. Below are the findings on a nationwide basis regarding the removal of a director.	
Introduction		What rules exist around how directors join or leave a board? Specifically, what laws govern the removal of a director? 	
Trends		The most common provision (40 states) allows for directors to be removed with or without cause. There is some variation across states in terms of the number of votes needed and whether a special meeting is required. Some states allow for an organization to remove a director who has missed a predetermined number of meetings. In 10 states, this is left to the bylaws of an organization; and one state (AK) is silent on the topic. 	
Resignation	3.00		
Governed by an organization's bylaws / articles of incorporation (AOI)	0.04	2.00	4%
No applicable laws exist on this topic	0.18	9.00	18%
Director can resign via written notice, effective immediately unless post-dated	0.78	40.00	78%
Grand Total	1.00	51.00	100%
Description		Resignation of elected directors refers to the termination – by the board member – of the board member’s service on the board.  Below are the findings on a nationwide basis regarding the resignation of a director.  	
Introduction		What rules exist around how directors join or leave a board? Specifically, around the resignation of a director? 	
Trends		Most states (40) allow for a resignation to be submitted in writing and be effective immediately. Some states will specify that the resignation can effective at a later date if the resignation includes a date.  A surprisingly large number of states (9) are silent on the issue, and two leave it to the bylaws of the organization. 	
Election	3.00		
Governed by an organization's bylaws / articles of incorporation (AOI)	0.86	44.00	86%
No applicable laws exist on this topic	0.10	5.00	10%
Conducted via written / e-written ballot by board of directors	0.04	2.00	4%
Grand Total	1.00	51.00	100%
Description		Election by directors refers to the way new board members are selected or approved to serve a term on the board. Below are the findings on a nationwide basis regarding the election of directors. 	
Introduction		What rules exist around how directors join or leave a board? Specifically, what laws govern the election of directors? 	
Trends		Overwhelmingly (44 states), an organization’s Bylaws or Articles of Incorporation specify the manner in which a director is to be elected.  Five states are silent on the issue.  Only two states (MD / OK) require a written or e-written ballot of the board of directors. 	
COI	5.00		
Governed by an organizatin's bylaws / articles of incorporation (AOI)	0.04	2.00	4%
Conflicts of interest must be disclosed; interested directors may vote; vote is only valid if majority of non-interested directors approve the vote	0.43	22.00	43%
Conflicts of interest must be disclosed; interested directors may count towards quorum but may not deliberate or vote on related issues	0.39	20.00	39%
Conflict of interest policy required; interested directors may count towards quorum, but may not deliberate or vote on related issues	0.04	2.00	4%
No applicable laws exist on this topic	0.10	5.00	10%
Grand Total	1.00	51.00	100%
Description		Conflict of interest refers to the actions of board members that have a material interest – whether direct or indirect – in an issue being decided by the board. An example of a conflict of interest might be a board member who is a senior officer of a company with which the nonprofit is considering doing business. Below are the findings on a nationwide basis regarding disclosure of conflicts of interest.	
Introduction		In what manner must board members disclose actions and entities in which they have a material interest?	
Trends		While all states include language in their nonprofit codes identifying what constitutes a potential conflict of interest and provide rules governing the actions of interested members, few states explicitly require nonprofits to have a formal Conflict of Interest Policy.  Most states (42) simply define what a conflict of interest is and how it is to be reported and acted upon. Some states include provisions for interested directors and how their presence or participation in deliberations is counted. 	
